"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-195.25,1.1056,-0.55974,0.59999,61.317,68.974,31.866
101.5,0.74407,-0.17615,0.02535,97.695,61.173,26.224
-304.83,0.0071695,-0.0014125,0.0017927,90.767,49.832,2.0678
-291.59,0.00014772,0.00046167,0.00029607,94.891,36.79,13.063
-301.09,-0.00036426,0.00030515,0.0010258,99.667,52.402,10.052
-300.16,-0.00017476,0.00016193,0.00006269,110.9,64.672,14.905
-781.77,0.0095122,-0.005011,-0.00097569,23.539,63.169,8.7151
84.438,0.30015,0.020419,-0.005111,89.678,74.123,32.493
-326.11,0.00073307,0.00058583,0.00057768,67.818,30.365,15.613
-227.62,0.0018448,-0.00024388,0.0018748,16.98,49.083,29.707
-226.76,0.00077987,-0.00064799,0.00044038,35.408,31.305,25.595
-321.41,-0.0057839,0.13162,0.047251,78.757,53.285,15.578
-218.86,0.93114,-0.43579,0.32201,54.627,67.815,35.596
-44.4,0.0029627,-0.00017697,0.00020301,63.689,14.96,32.82
-43.505,0.004742,0.00076401,-0.000080701,69.762,20.746,35.687
-322.03,0.094942,0.045095,0.0041004,78.484,54.62,0.69351
-44.082,0.0031812,0.000088876,0.000049418,68.252,14.901,38.738
-297.47,-0.00083712,0.0013136,-0.00002334,97.07,44.398,18.774
-325.51,0.000051847,0.00039323,0.00065311,80.666,25.023,11.044
-42.84,0.011686,-0.0023366,0.00032238,69.375,29.77,24.221
-148.92,0.81171,-1.0172,0.40478,75.525,67.917,32.088
-43.788,0.00081729,0.0003953,0.000095345,79.139,11.509,30.434
-226.98,0.00063017,-0.00052762,0.00062482,28.681,34.468,33.19
-285.31,0.000090073,-0.00014675,0.00018987,84.847,27.096,3.2757
-736.84,0.59677,-0.48143,-0.011203,18.278,22.923,6.1944
-669.02,0.31727,1.0247,-0.018299,42.52,29.378,4.4988
89.122,1.1306,-0.26889,-0.013134,93.408,56.16,22.15
-781.81,0.002554,-0.0022971,-0.000022085,31.209,69.479,16.787
-353.72,1.0591,0.95123,0.088311,56.441,54.803,17.495
-281.83,0.000050928,0.000066412,0.00004898,101.97,17.924,15.161
-613.73,1.1854,2.4587,0.099054,40.182,40.584,8.7074
-325.79,0.00021791,0.000221,0.00064736,74.476,26.092,10.629
-43.788,0.0017586,0.0015688,-0.0000034684,77.03,15.103,38.824
-302.36,0.002775,-0.00041992,0.003312,91.464,47.439,6.9342
-42.28,0.021515,-0.0042615,0.00064777,71.38,33.919,22.838
-324.64,0.01794,0.00044403,0.028524,74.12,46.514,13.735
-326.09,-0.000036215,-0.0005846,0.00083724,64.769,33.474,7.6498
-39.539,0.024227,0.038535,0.00049249,78.828,35.571,38.733
-724.19,0.72101,-0.13915,0.0034099,23.724,22.771,12.333
-692.18,0.71969,0.50802,0.0045882,33.909,25.569,10.74
-292.27,-0.000072299,0.0003009,0.00024262,111.53,43.656,5.585
-224.84,0.40561,-0.23286,0.057455,41.691,52.971,37.877
-195.9,1.5859,0.010163,1.2714,71.998,73.107,21.143
-325.5,0.0014857,0.0019388,0.002583,74.11,34.808,13.077
-355.21,0.87573,0.36793,0.17272,60.938,54.256,5.1941
-729.7,0.5571,-0.26819,0.0035271,20.642,20.035,9.29
-322.25,-0.0061604,0.11363,0.0083157,79.86,51.968,19.265
-781.96,0.054231,0.070763,-0.0053042,12.854,54.345,9.5034
-196.32,0.98406,-0.66828,0.22472,56.682,63.419,32.199
-311.09,-0.0093803,0.0031317,0.01902,85.708,56.029,11.022
-229.05,0.0063377,-0.0026347,0.0050396,27.88,48.983,26.401
-759.53,2.1825,-0.71815,0.059101,19.368,36.666,11.924
-41.935,0.067219,0.028188,0.0017174,76.488,38.623,22.942
-781.41,0.0048955,-0.0012379,-0.00029944,25.179,70.094,9.6182
-43.067,0.0037959,0.0049064,0.000014077,76.554,23.123,35.963
-721.42,0.60772,-0.20619,-0.030716,23.166,20.623,1.0994
-358.9,-1.1828,2.2218,1.4469,46.323,60.845,18.858
-329.5,0.27638,0.070328,0.055996,72.374,51.436,4.4104
-694.28,0.10565,0.2501,0.0097673,42.903,16.767,15.767
-296.8,-0.000077479,0.00025099,0.00010846,116.38,56.466,9.5687
-41.418,0.02286,0.0016707,0.0015461,72.85,33.579,34.573
-42.474,0.0024304,0.014587,0.00052463,80.727,28.742,34.151
-292.1,0.00060726,-0.000093325,0.00029659,94.877,37.759,2.6285
-325.68,0.000015086,-0.000030532,0.000026881,80.76,12.667,1.2397
-44.679,0.0018795,-0.0011097,0.00016149,55.203,15.977,33.869
-226.66,0.00049012,-0.00090424,0.00086323,29.741,36.767,31.6
-716.92,2.5653,0.070176,0.056952,24.593,42.764,10.981
-43.594,0.0049578,-0.002357,0.000078567,63.932,25.418,38.847
-329.91,0.16148,1.0321,1.4827,40.054,67.748,17.1
-592.01,3.7776,2.7036,-0.22215,36.319,44.291,18.82
-287.25,0.000056001,0.00022394,-0.000033644,111.21,33.541,4.2128
-222.6,0.71373,-0.5728,0.072434,44.735,54.165,27.467
-733.65,2.6302,-0.012879,-0.084861,23.988,42.787,1.1563
-226.98,0.0006939,-0.00032586,0.00048,32.123,30.897,29.939
-695.36,1.5558,0.55404,-0.064793,30.174,33.273,8.2699
-284.12,0.000046023,0.00022726,0.000085838,109.32,25.579,15.561
-42.358,0.016582,0.021041,-0.00035958,78.405,32.788,23.062
-227.17,0.00020884,0.00020589,0.00013723,38.855,21.009,35.305
-781.72,0.0081041,-0.0043049,-0.00088624,23.316,64.452,3.9352
-286.59,0.00024868,0.000068352,0.00021199,101.9,29.743,7.6523
-298.96,-0.000061969,0.00027515,0.000054012,114.82,61.367,16.049
-321.32,-0.019787,0.13025,0.20341,76.747,59.586,8.8725
-153.1,0.9978,-0.95556,0.38823,72.345,67.535,33.151
-42.191,0.017081,0.0078989,0.00083194,74.623,31.426,30.323
-128.99,1.5534,-1.1332,0.080194,69.427,59.134,31.979
-325.85,-0.00022127,-0.000034791,0.00028913,50.875,46.391,6.0723
-337.15,0.48836,0.2242,0.48608,62.377,63.728,5.1157
